2 : 0.12149532710280374     -> 
К : 0.09345794392523364     ->е
Ь : 0.09190031152647975     ->о
t : 0.07009345794392523     ->и
Ы : 0.06230529595015576     ->н
r : 0.06074766355140187     ->в
Д : 0.06074766355140187     ->а
> : 0.05451713395638629     ->с
О : 0.0529595015576324      ->т
< : 0.03894080996884735     ->м
Б : 0.0264797507788162      ->д
Й : 0.024922118380062305    ->к
Я : 0.02336448598130841     ->п
1 : 0.02336448598130841     ->я
Ч : 0.020249221183800622    ->л
  : 0.018691588785046728    ->р
М : 0.017133956386292833    ->з
0 : 0.017133956386292833    ->у
Х : 0.009345794392523364    ->ю
А : 0.009345794392523364    ->г
a : 0.009345794392523364    ->ч
Л : 0.00778816199376947     ->ж
8 : 0.006230529595015576    ->ы
Е : 0.006230529595015576    ->б
c : 0.006230529595015576    ->щ
3 : 0.004672897196261682    ->х
, : 0.004672897196261682    ->ь
. : 0.003115264797507788    ->ф
b : 0.003115264797507788    ->ш
9 : 0.001557632398753894    ->ц
Ф : 0.0                     ->э
? : 0.0                     ->й

х ф
й х
